location	Latitude	Longitude
Paynesville city	45.38	-94.72
Pease city	45.7	-93.65
Pelican Rapids city	46.57	-96.09
Pemberton city	44.01	-93.78
Pennock city	45.15	-95.17
Pequot Lakes city	46.59	-94.3
Perham city	46.6	-95.57
Perley city	47.18	-96.8
Peterson city	43.79	-91.83
Pierz city	45.98	-94.1
Pillager city	46.33	-94.48
Pine Bend	47.42	-95.6
Pine City city	45.83	-92.97
Pine Island city	44.2	-92.62
Pine Point	46.99	-95.39
Pine River city	46.72	-94.4
Pine Springs city	45.04	-92.95
Pipestone city	44	-96.31
Plainview city	44.16	-92.17
Plato city	44.77	-94.04
Plummer city	47.92	-96.04
Plymouth city	45.02	-93.46
Ponemah	48.03	-94.9
Porter city	44.64	-96.17
Preston city	43.67	-92.08
Princeton city	45.57	-93.59
Prinsburg city	44.93	-95.19
Prior Lake city	44.73	-93.44
Proctor city	46.74	-92.23
Quamba city	45.92	-93.17
Racine city	43.78	-92.48
Ramsey city	45.26	-93.45
Randall city	46.09	-94.5
Randolph city	44.53	-93.02
Ranier city	48.61	-93.35
Raymond city	45.02	-95.24
Red Lake	47.87	-95.01
Red Lake Falls city	47.88	-96.27
Red Wing city	44.58	-92.6
Redby	47.87	-94.92
Redwood Falls city	44.55	-95.1
Regal city	45.41	-94.84
Remer city	47.06	-93.91
Renville city	44.79	-95.21
Revere city	44.22	-95.36
Rice city	45.75	-94.23
Rice Lake	47.39	-95.52
Richfield city	44.88	-93.28
Richmond city	45.46	-94.52
Richville city	46.51	-95.63
Riverland	47.32	-95.95
Riverton city	46.46	-94.05
Robbinsdale city	45.03	-93.33
Rochester city	44.02	-92.48
Rock Creek city	45.76	-92.91
Rockford city	45.09	-93.74
Rockville city	45.46	-94.32
Rogers city	45.19	-93.55
Rollingstone city	44.1	-91.82
Ronneby	45.69	-93.86
Roosevelt city	48.81	-95.1
Roscoe city	45.43	-94.64
Rose Creek city	43.6	-92.83
Roseau city	48.84	-95.76
Rosemount city	44.75	-93.07
Roseville city	45.02	-93.15
Rothsay city	46.47	-96.28
Round Lake city	43.54	-95.47
Roy Lake	47.32	-95.54
Royalton city	45.83	-94.29
Rush City city	45.69	-92.97
Rushford city	43.81	-91.75
Rushford Village city	43.8	-91.79
Rushmore city	43.62	-95.8
Russell city	44.32	-95.95
Ruthton city	44.18	-96.1
Rutledge city	46.26	-92.87
Sabin city	46.78	-96.65
Sacred Heart city	44.78	-95.35
Sanborn city	44.21	-95.13
Sandstone city	46.13	-92.86
Sargeant city	43.81	-92.8
Sartell city	45.62	-94.22
Sauk Centre city	45.74	-94.95
Sauk Rapids city	45.6	-94.15
Savage city	44.75	-93.36
Scandia city	45.25	-92.83
Scanlon city	46.71	-92.43
Seaforth city	44.48	-95.33
Searles	44.23	-94.44
Sebeka city	46.63	-95.09
Sedan city	45.58	-95.24
Shafer city	45.39	-92.75
Shakopee city	44.77	-93.48
Shelly city	47.46	-96.82
Sherburn city	43.65	-94.73
Shevlin city	47.53	-95.26
Shoreview city	45.08	-93.14
Shorewood city	44.92	-93.57
Silver Bay city	47.29	-91.28
Silver Creek	45.31	-93.98
Silver Lake city	44.9	-94.2
Skyline city	44.14	-94.03
Slayton city	43.99	-95.76
Sleepy Eye city	44.3	-94.72
Sobieski city	45.92	-94.48
Solway city	47.52	-95.13
Soudan	47.81	-92.24
South End	47.32	-95.48
South Haven city	45.29	-94.22
South St. Paul city	44.89	-93.04
Spicer city	45.23	-94.94
Spring Grove city	43.56	-91.64
Spring Hill city	45.52	-94.83
Spring Lake Park city	45.12	-93.25
Spring Park city	44.94	-93.63
Spring Valley city	43.69	-92.39
Springfield city	44.24	-94.98
Squaw Lake city	47.63	-94.14
St. Anthony city	45.03	-93.22
St. Anthony city	45.69	-94.61
St. Augusta city	45.45	-94.2
St. Bonifacius city	44.91	-93.75
St. Charles city	43.97	-92.06
St. Clair city	44.08	-93.86
St. Cloud city	45.53	-94.17
St. Francis city	45.4	-93.39
St. Hilaire city	48.01	-96.21
St. James city	43.98	-94.63
St. Joseph city	45.56	-94.31
St. Leo city	44.72	-96.05
St. Louis Park city	44.95	-93.37
St. Martin city	45.5	-94.67
St. Marys Point city	44.91	-92.77
St. Michael city	45.2	-93.69
St. Paul city	44.95	-93.1
St. Paul Park city	44.84	-92.99
St. Peter city	44.33	-93.96
St. Rosa city	45.73	-94.72
St. Stephen city	45.7	-94.27
St. Vincent city	48.97	-97.23
Stacy city	45.38	-92.99
Stanchfield	45.66	-93.18
Staples city	46.37	-94.8
Starbuck city	45.61	-95.53
Steen city	43.51	-96.26
Stephen city	48.45	-96.88
Stewart city	44.72	-94.49
Stewartville city	43.86	-92.49
Stillwater city	45.06	-92.83
Stockton city	44.03	-91.77
Storden city	44.04	-95.32
Strandquist city	48.49	-96.45
Strathcona city	48.55	-96.17
Sturgeon Lake city	46.39	-92.82
Sunburg city	45.35	-95.24
Sunfish Lake city	44.87	-93.09
Swanville city	45.92	-94.64
Taconite city	47.33	-93.36
Tamarack city	46.65	-93.13
Taopi city	43.56	-92.64
Taunton city	44.59	-96.06
Taylors Falls city	45.41	-92.67
Tenney city	46.04	-96.45
Tenstrike city	47.66	-94.68
The Lakes	44.14	-95.71
The Ranch	47.32	-95.7
Thief River Falls city	48.11	-96.18
Thomson city	46.67	-92.39
Tintah city	46.01	-96.32
Tonka Bay city	44.92	-93.59
Tower city	47.81	-92.28
Tracy city	44.24	-95.62
Trail city	47.78	-95.7
Trimont city	43.76	-94.72
Trommald city	46.51	-94.02
Trosky city	43.89	-96.25
Truman city	43.83	-94.44
Turtle River city	47.59	-94.76
Twin Lakes	47.23	-95.66
Twin Lakes city	43.56	-93.42
